"","X","SubjectID","ExperimentName","Session","Age","Handedness","Sex","CRESP","List2","PairCode","Sound1","Sound2","PWType","WordType","zMFCC","Condition","RESP","Trial","RT","ACC","SyllPos","TrialType","c_Trial"
"27",27,"Base_Test1_204","Test1",2,24,"right","female","1","43","PW vs Med FW","pirogo.wav","tularo.wav",2,3,1.10108532403706,"Familiar",1,27,1198,1,"Medial","PW vs FW",-1.58095545513234
"28",28,"Base_Test1_204","Test1",2,24,"right","female","5","55","PW vs Fin FW","tupiku.wav","butupi.wav",1,3,-0.257955755918198,"Familiar",1,28,1102,0,"Final","PW vs FW",-0.580955455132344
"29",29,"Base_Test1_204","Test1",2,24,"right","female","1","44","PW vs Med FW","dotigo.wav","papiti.wav",2,4,0.291753243007115,"Familiar",1,29,1538,1,"Medial","PW vs FW",0.419044544867656
"30",30,"Base_Test1_204","Test1",2,24,"right","female","1","52","PW vs Fin FW","dotigo.wav","padobu.wav",2,4,0.296611514613159,"Familiar",1,30,1088,1,"Final","PW vs FW",1.41904454486766
"31",31,"Base_Test1_204","Test1",2,24,"right","female","5","10","Word vs In FW","godaku.wav","bidaku.wav",NA,2,0.781961875630439,"Familiar",1,31,830,0,"Initial","Word vs FW",2.41904454486766
"32",32,"Base_Test1_204","Test1",2,24,"right","female","5","56","PW vs Fin FW","padoro.wav","ropado.wav",1,4,1.35174727276499,"Familiar",1,32,1626,0,"Final","PW vs FW",3.41904454486766
"33",33,"Base_Test1_204","Test1",2,24,"right","female","1","36","PW vs In FW","dotitu.wav","godoti.wav",2,4,-0.355968481618047,"Familiar",1,33,1197,1,"Initial","PW vs FW",4.41904454486766
"34",34,"Base_Test1_204","Test1",2,24,"right","female","1","15","Word vs In FW","tupiro.wav","papiro.wav",NA,3,1.07074586855259,"Familiar",1,34,1667,1,"Initial","Word vs FW",5.41904454486766
"35",35,"Base_Test1_204","Test1",2,24,"right","female","1","14","Word vs In FW","bidaku.wav","tudaku.wav",NA,2,-0.266109272601177,"Familiar",5,35,907,0,"Initial","Word vs FW",6.41904454486766
"36",36,"Base_Test1_204","Test1",2,24,"right","female","5","54","PW vs Fin FW","bidabu.wav","robida.wav",1,2,-1.34526988854491,"Familiar",5,36,1868,1,"Final","PW vs FW",7.41904454486766
"37",37,"Base_Test1_204","Test1",2,24,"right","female","5","9","Word vs In FW","tulabu.wav","golabu.wav",NA,1,-0.275458580478951,"Familiar",5,37,1205,1,"Initial","Word vs FW",8.41904454486766
"38",38,"Base_Test1_204","Test1",2,24,"right","female","5","26","Word vs Fin FW","bidaro.wav","bidaku.wav",NA,2,-0.257955755918198,"Familiar",5,38,1480,1,"Final","Word vs FW",9.41904454486766
