"","X","SubjectID","ExperimentName","Session","Age","Handedness","Sex","CRESP","List2","PairCode","Sound1","Sound2","PWType","WordType","zMFCC","Condition","RESP","Trial","RT","ACC","SyllPos","TrialType","c_Trial"
"26",12178,"Base_NNL_801","NNL",1,17,"right","female","5","7","Word vs PW","labubi.wav","golabu.wav",2,1,NA,"Unfamiliar",1,26,1642,0,NA,"Word vs PW",-2.58095545513234
"27",12179,"Base_NNL_801","NNL",1,17,"right","female","5","16","Word vs In FW","godoti.wav","padoti.wav",NA,4,0.266764696187699,"Unfamiliar",5,27,1803,1,"Initial","Word vs FW",-1.58095545513234
"28",12180,"Base_NNL_801","NNL",1,17,"right","female","1","28","Word vs Fin FW","padoti.wav","padoro.wav",NA,4,0.820638616656125,"Unfamiliar",1,28,2009,1,"Final","Word vs FW",-0.580955455132344
"29",12181,"Base_NNL_801","NNL",1,17,"right","female","1","43","PW vs Med FW","robida.wav","bipiku.wav",1,2,0.756281907372257,"Unfamiliar",1,29,1314,1,"Medial","PW vs FW",0.419044544867656
"30",12182,"Base_NNL_801","NNL",1,17,"right","female","1","17","Word vs Med FW","golabu.wav","godabu.wav",NA,1,-1.31107860864913,"Unfamiliar",1,30,1492,1,"Medial","Word vs FW",1.41904454486766
"31",12183,"Base_NNL_801","NNL",1,17,"right","female","1","11","Word vs In FW","tupiro.wav","papiro.wav",NA,3,0.429540957672635,"Unfamiliar",1,31,2373,1,"Initial","Word vs FW",2.41904454486766
"32",12184,"Base_NNL_801","NNL",1,17,"right","female","5","14","Word vs In FW","godaku.wav","bidaku.wav",NA,2,-1.23434873110733,"Unfamiliar",1,32,2077,0,"Initial","Word vs FW",3.41904454486766
"33",12185,"Base_NNL_801","NNL",1,17,"right","female","1","52","PW vs Fin FW","butupi.wav","tupiku.wav",1,3,1.3494944975745,"Unfamiliar",1,33,1745,1,"Final","PW vs FW",4.41904454486766
"34",12186,"Base_NNL_801","NNL",1,17,"right","female","1","36","PW vs In FW","rogola.wav","bilabu.wav",1,1,-1.23434873110733,"Unfamiliar",5,34,1139,0,"Initial","PW vs FW",5.41904454486766
"35",12187,"Base_NNL_801","NNL",1,17,"right","female","1","19","Word vs Med FW","tupiro.wav","tudoro.wav",NA,3,-0.996502409603964,"Unfamiliar",5,35,1657,0,"Medial","Word vs FW",6.41904454486766
"36",12188,"Base_NNL_801","NNL",1,17,"right","female","1","1","Word vs PW","golabu.wav","rogola.wav",1,1,NA,"Unfamiliar",5,36,1434,0,NA,"Word vs PW",7.41904454486766
"37",12189,"Base_NNL_801","NNL",1,17,"right","female","5","53","PW vs Fin FW","golati.wav","labupa.wav",2,1,1.07824849447084,"Unfamiliar",1,37,1985,0,"Final","PW vs FW",8.41904454486766
"38",12190,"Base_NNL_801","NNL",1,17,"right","female","1","55","PW vs Fin FW","dakutu.wav","bidaro.wav",2,2,1.3494944975745,"Unfamiliar",5,38,1359,0,"Final","PW vs FW",9.41904454486766
"39",12191,"Base_NNL_801","NNL",1,17,"right","female","1","10","Word vs In FW","bidaku.wav","tudaku.wav",NA,2,-0.625245435400968,"Unfamiliar",5,39,2879,0,"Initial","Word vs FW",10.4190445448677
"40",12192,"Base_NNL_801","NNL",1,17,"right","female","5","8","Word vs PW","piropa.wav","tupiro.wav",2,3,NA,"Unfamiliar",5,40,1178,1,NA,"Word vs PW",11.4190445448677
"41",12193,"Base_NNL_801","NNL",1,17,"right","female","5","38","PW vs In FW","gopiro.wav","piropa.wav",2,3,-0.539772457704594,"Unfamiliar",1,41,1816,0,"Initial","PW vs FW",12.4190445448677
"42",12194,"Base_NNL_801","NNL",1,17,"right","female","5","22","Word vs Med FW","bilaku.wav","bidaku.wav",NA,2,-1.31107860864913,"Unfamiliar",1,42,1411,0,"Medial","Word vs FW",13.4190445448677
"43",12195,"Base_NNL_801","NNL",1,17,"right","female","5","4","Word vs PW","kupado.wav","padoti.wav",1,4,NA,"Unfamiliar",1,43,1569,0,NA,"Word vs PW",14.4190445448677
"44",12196,"Base_NNL_801","NNL",1,17,"right","female","1","18","Word vs Med FW","bidaku.wav","bipiku.wav",NA,2,0.756281907372257,"Unfamiliar",1,44,1868,1,"Medial","Word vs FW",15.4190445448677
"45",12197,"Base_NNL_801","NNL",1,17,"right","female","5","34","PW vs In FW","titupi.wav","papiro.wav",1,3,0.429540957672635,"Unfamiliar",5,45,2214,1,"Initial","PW vs FW",16.4190445448677
"46",12198,"Base_NNL_801","NNL",1,17,"right","female","5","42","PW vs Med FW","tudoro.wav","butupi.wav",1,3,-0.996502409603964,"Unfamiliar",1,46,1389,0,"Medial","PW vs FW",17.4190445448677
"47",12199,"Base_NNL_801","NNL",1,17,"right","female","1","26","Word vs Fin FW","bidaku.wav","bidabu.wav",NA,2,-1.22985896637136,"Unfamiliar",5,47,1511,0,"Final","Word vs FW",18.4190445448677
"48",12200,"Base_NNL_801","NNL",1,17,"right","female","5","50","PW vs Fin FW","padoro.wav","ropado.wav",1,4,0.820638616656125,"Unfamiliar",1,48,1590,0,"Final","PW vs FW",19.4190445448677
"49",12201,"Base_NNL_801","NNL",1,17,"right","female","5","32","Word vs Fin FW","padobu.wav","padoti.wav",NA,4,1.07824849447084,"Unfamiliar",5,49,1541,1,"Final","Word vs FW",20.4190445448677
"50",12202,"Base_NNL_801","NNL",1,17,"right","female","1","48","PW vs Med FW","pirogo.wav","tularo.wav",2,3,0.681696431891337,"Unfamiliar",5,50,1217,0,"Medial","PW vs FW",21.4190445448677
"51",12203,"Base_NNL_801","NNL",1,17,"right","female","1","2","Word vs PW","tupiro.wav","titupi.wav",1,3,NA,"Unfamiliar",1,51,1244,1,NA,"Word vs PW",22.4190445448677
"52",12204,"Base_NNL_801","NNL",1,17,"right","female","1","40","PW vs In FW","dotitu.wav","godoti.wav",2,4,0.266764696187699,"Unfamiliar",5,52,1563,0,"Initial","PW vs FW",23.4190445448677
"53",12205,"Base_NNL_801","NNL",1,17,"right","female","5","23","Word vs Med FW","tularo.wav","tupiro.wav",NA,3,0.681696431891337,"Unfamiliar",1,53,2205,0,"Medial","Word vs FW",24.4190445448677
"54",12206,"Base_NNL_801","NNL",1,17,"right","female","1","12","Word vs In FW","padoti.wav","tudoti.wav",NA,4,0.429540957672635,"Unfamiliar",1,54,1045,1,"Initial","Word vs FW",25.4190445448677
"55",12207,"Base_NNL_801","NNL",1,17,"right","female","5","45","PW vs Med FW","bilaku.wav","dakutu.wav",2,2,-1.31107860864913,"Unfamiliar",1,55,1201,0,"Medial","PW vs FW",26.4190445448677
